"名称","状态","入接口","发布服务器","源IP符合条件","目的IP地址转换条件","指定协议","映射目的IP地址","映射目的端口范围"
"临沂市技改投资项目调度统计系统联通","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(8022-8022,62232-62232,62233-62233)","10.20.24.31-10.20.24.31","8080-8080,22-22,3306-3306"
"郯城县林业局(林业行政执法网上办案）","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(8118-8118,3389-3389,43306-43306)","10.20.24.87-10.20.24.87","8080-8080,22-22,3306-3306"
"联通网站测试(kehu.iamtop.net)20150909-gby","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(8001-8001,8076-8076,31022-31022,8077-8077)","10.20.24.64-10.20.24.64","8001-8001,8080-8080,22-22,3306-3306"
"华标ERP","启用","联通","禁用","ALL","123.132.252.5-123.132.252.5","TCP(0)to(8089-8089,2647-2647,7899-7899,7866-7866,8090-8090)","10.10.102.27-10.10.102.27","8089-8089,2647-2647,7899-7899,7866-7866,8090-8090"
"联通银桥科技财务软件平台20150909-gby","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(60089-60089,211-211,6868-6868,63074-63074,7070-7070)","10.10.102.29-10.10.102.29","3389-3389,211-211,6868-6868,63074-63074,7070-7070"
"社情民意平台-ssh","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(369-369,539-539,4433-4433,60334-60334)","10.10.101.102-10.10.101.102","369-369,539-539,4433-4433,60334-60334"
"社情民意平台","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(8808-8808,8080-8080)","10.10.101.106-10.10.101.106","8808-8808,8080-8080"
"(社)联通开发区被征地农民养老保险系统-gby","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(8085-8085,63340-63340,63341-63341)","10.40.0.77-10.40.0.77","8080-8080,3306-3306,22-22"
"兰山华德电器暂留至10-lts","启用","联通","启用","ALL","123.132.252.6-123.132.252.6","TCP(0)to(3489-3489)","10.10.102.44-10.10.102.44","3489-3489"
"兰山华德电器暂留至9月1-lts","启用","联通","禁用","ALL","123.132.252.6-123.132.252.6","TCP(0)to(2383-2383,3309-3309,4522-4522,4527-4527,4630-4630,4631-4631,6000-6000,6666-6666,6868-6868,7000-7000,7777-7777,8081-8081,8090-8090,8072-8072,8217-8217,8631-8631,8888-8888,8951-8951,8983-8983,9023-9023,9088-9088,9909-9909,9943-9943,9999-9999,11211-11211,11523-11523,11521-11521,11520-11520,14417-14417,27017-27017,29917-29917,47001-47001,49152-49152,49154-49154,49153-49153,49155-49155,49160-49160,49194-49194,49308-49308,50362-50362,53914-53914,53915-53915)","10.10.102.44-10.10.102.44","2383-2383,3309-3309,4522-4522,4527-4527,4630-4630,4631-4631,6000-6000,6666-6666,6868-6868,7000-7000,7777-7777,8081-8081,8090-8090,8072-8072,8217-8217,8631-8631,8888-8888,8951-8951,8983-8983,9023-9023,9088-9088,9909-9909,9943-9943,9999-9999,11211-11211,11523-11523,11521-11521,11520-11520,14417-14417,27017-27017,29917-29917,47001-47001,49152-49152,49154-49154,49153-49153,49155-49155,49160-49160,49194-49194,49308-49308,50362-50362,53914-53914,53915-53915"
